phrase1, phrase2, phrase3, phrase4, phrase5, phrase6, phrase7, phrase8, phrase9, phrase10, phrase11, phrase12, phrase13, phrase14, phrase15, phrase16, phrase17, phrase18, phrase19, phrase20, phrase21, phrase22, phrase23, phrase24, phrase25, phrase26, phrase27, phrase28, phrase29, phrase30, symptom
"I have stomach bleeding","There is bleeding in my stomach","My stomach is bleeding","I am experiencing stomach bleeding","There’s blood coming from my stomach","My stomach feels painful due to bleeding","I noticed blood in my stomach","I have a stomach bleed","My stomach is bleeding internally","I’m dealing with stomach bleeding","I’m experiencing stomach bleeding","I have bleeding in my stomach","I’m dealing with stomach bleeding","My stomach is bleeding","There’s blood in my stomach","I’m coughing up blood from my stomach","I’m noticing blood in my stomach area","I’m having gastrointestinal bleeding","I have internal bleeding in my stomach","I’m suffering from bleeding in my stomach","I’m concerned about stomach bleeding","I’m having issues with bleeding in my digestive system","I’m dealing with stomach bleeding","I have bleeding in my stomach","I’m noticing stomach bleeding","I have blood in my stomach","I’m dealing with stomach bleeding","I have bleeding in my stomach","I’m noticing stomach bleeding","I have blood in my stomach","stomach_bleeding"
"My abdomen is distended","I’m feeling a distention in my abdomen","There is distention in my abdomen","My stomach feels bloated and distended","I have a distended abdomen","I’m experiencing abdominal distention","My abdomen feels swollen and distended","There is a sensation of fullness in my abdomen","My abdomen feels stretched and distended","I have noticeable distention in my abdomen","My abdomen is distended","I have a swollen abdomen","I’m experiencing abdominal distension","My belly feels bloated","I’m dealing with a distended stomach","I feel like my abdomen is swollen","My abdomen looks enlarged","I’m noticing my stomach is distended","There’s a noticeable bloating in my abdomen","I’m experiencing discomfort due to abdominal distention","My belly feels tight and swollen","I have a distended abdomen","My abdomen feels distended","I’m experiencing bloating in my abdomen","My stomach feels swollen","I have abdominal distention","My abdomen feels distended","I’m experiencing bloating in my abdomen","My stomach feels swollen","I have abdominal distention","distention_of_abdomen"
"I have a history of alcohol consumption","I’ve consumed alcohol in the past","I’ve been drinking alcohol for years","Alcohol consumption is part of my history","I have a long history of alcohol use","I’ve had a history of drinking alcohol","I’ve regularly consumed alcohol over the years","My past includes alcohol consumption","I’ve had a history of alcohol intake","I have a history of alcohol consumption","I’ve consumed alcohol regularly in the past","I’ve had a history of drinking alcohol","I’ve struggled with alcohol consumption before","I’ve been a regular drinker of alcohol","I’ve had a history of drinking heavily","I’ve consumed alcohol for many years","I have a past involving alcohol consumption","My history includes alcohol use","I’ve dealt with alcohol consumption issues","I’ve consumed alcohol frequently in my life","I have a history of alcohol intake","I have a history of alcohol consumption","I’ve been consuming alcohol regularly","I have a background of alcohol use","I’ve had a history of drinking alcohol","I have a history of alcohol consumption","I’ve been consuming alcohol regularly","I have a background of alcohol use","I’ve had a history of drinking alcohol","I have a history of alcohol consumption","history_of_alcohol_consumption"
"I am experiencing fluid overload","I have a condition of fluid overload","My body is retaining too much fluid","I’m dealing with fluid overload in my body","There’s an excessive amount of fluid in my system","I’m having symptoms of fluid overload","My body is holding onto more fluid than it should","I’ve been diagnosed with fluid overload","Fluid overload is affecting my health","I’m experiencing swelling due to fluid overload","I’m experiencing fluid overload","My body is retaining excess fluid","I have fluid retention issues","I feel like my body has too much fluid","I’m dealing with swollen legs due to fluid overload","I have a build-up of fluid in my body","I’m experiencing excess fluid accumulation","My body is retaining too much water","I’m noticing bloating and fluid overload","I have fluid retention in my body","I’m struggling with fluid overload issues","I feel puffed up due to excess fluid","I’m dealing with fluid overload","My body is retaining too much fluid","I’m experiencing fluid buildup","I have an overload of fluid in my body","I’m dealing with fluid overload","My body is retaining too much fluid","I’m experiencing fluid buildup","I have an overload of fluid in my body","fluid_overload"
"I have blood in my sputum","I noticed blood in my mucus","My sputum contains blood","There’s blood when I cough up sputum","I’m coughing up blood along with sputum","I’ve seen traces of blood in my sputum","There’s blood in the mucus I cough up","I’m experiencing blood in my sputum","I’m coughing up blood with phlegm","I’ve been spitting up blood with sputum","I’m coughing up blood in my sputum","There’s blood in my sputum when I cough","I’ve been coughing up blood with my sputum","My sputum has blood in it","I’m noticing blood in my sputum","I’m coughing up red-colored sputum","There’s blood mixed with the mucus I’m coughing up","I’m dealing with bloody sputum","I’m producing sputum with blood in it","I’ve been coughing up blood recently","My sputum is tinged with blood","I have blood in my cough sputum","I’m coughing up blood in my sputum","There’s blood in my sputum when I cough","I’ve been coughing up blood with my sputum","My sputum has blood in it","I’m coughing up blood in my sputum","There’s blood in my sputum when I cough","I’ve been coughing up blood with my sputum","My sputum has blood in it","blood_in_sputum"
"I have prominent veins on my calf","My calf has visible veins","There are bulging veins on my calf","I notice veins sticking out on my calf","The veins on my calf are more visible than usual","My calf has noticeable veins","I see prominent veins on my calf","There’s swelling in the veins on my calf","The veins on my calf are quite prominent","I’m experiencing prominent veins on my calf","I have prominent veins on my calf","My calf veins are very noticeable","I can see veins sticking out on my calf","I have visible veins in my calf area","The veins in my calf are more prominent","I’m noticing large veins on my calf","My calf veins are bulging","I’m dealing with prominent veins in my calf","The veins in my calf are very visible","I have visible and prominent veins on my legs","My calves show pronounced veins","The veins in my calf stand out","My calf veins are very noticeable","I can see veins sticking out on my calf","I have visible veins in my calf area","The veins in my calf are more prominent","My calf veins are very noticeable","I can see veins sticking out on my calf","I have visible veins in my calf area","The veins in my calf are more prominent","prominent_veins_on_calf"
"I can feel palpitations in my chest","My heart is racing","I’m experiencing palpitations","There’s a fluttering sensation in my chest","I can hear my heart pounding","I feel my heart beating faster than usual","My heart skips a beat","I’m noticing palpitations in my chest","I feel palpitations when I move","There’s a rapid heartbeat in my chest","I’m experiencing irregular palpitations","I’m experiencing palpitations","I feel like my heart is racing","My heart feels like it’s beating too fast","I’m dealing with a fast heartbeat","I can feel my heart pounding in my chest","My heart rate feels irregular","I’m noticing heart palpitations","I’m having a racing heartbeat","I feel my heart thumping","I’m experiencing irregular heartbeats","I’m dealing with uncomfortable heart palpitations","My heart feels like it’s skipping beats","My heart feels like it’s racing","I’m experiencing palpitations","I feel like my heart is beating too fast","I’m dealing with a fast heartbeat","My heart feels like it’s racing","I’m experiencing palpitations","I feel like my heart is beating too fast","palpitations"
"I feel pain when walking","Walking causes me discomfort","I experience pain while walking","My legs hurt when I walk","It’s painful to walk","I can’t walk without feeling pain","Walking is difficult due to pain","I feel a sharp pain when walking","Every step I take while walking hurts","I experience discomfort in my legs while walking","I’m having trouble walking because of the pain","It hurts to walk","I’m experiencing pain while walking","Walking causes me pain","I have pain when I try to walk","I’m dealing with walking pain","My legs hurt when I walk","I feel pain in my feet when I walk","I’m struggling with painful walking","I’m finding it hard to walk due to pain","I feel discomfort in my legs when walking","Walking has become painful for me","I’m experiencing pain while moving around","It hurts to walk","I’m experiencing pain while walking","Walking causes me pain","I have pain when I try to walk","It hurts to walk","I’m experiencing pain while walking","Walking causes me pain","painful_walking"
"I have pimples filled with pus","There are pimples on my skin filled with pus","I notice pus-filled pimples on my face","My skin has pimples with pus in them","I have painful, pus-filled pimples","There are some pimples on my skin that are filled with pus","I’m dealing with pimples that are filled with pus","Pus-filled pimples have appeared on my skin","My face is breaking out with pimples filled with pus","I’ve been getting pus-filled pimples on my skin","I have pus-filled pimples","I’m dealing with pimples full of pus","My pimples are filled with pus","I’m experiencing pustules on my skin","I have swollen pimples with pus inside","I have pimples that are oozing pus","I’m noticing pus in my pimples","My pimples are inflamed and filled with pus","I’m struggling with pimples full of pus","I’m dealing with pus-filled acne","I have inflamed pimples that contain pus","I’m getting pimples filled with yellowish pus","My pimples are filled with pus","I’m dealing with pimples full of pus","My pimples have pus in them","I have pus-filled pimples on my skin","My pimples are filled with pus","I’m dealing with pimples full of pus","My pimples have pus in them","I have pus-filled pimples on my skin","pus_filled_pimples"
"I have blackheads on my nose","There are blackheads on my face","My face is covered with blackheads","I notice blackheads appearing on my skin","I’m dealing with blackheads on my face","There are visible blackheads on my nose","I’ve been getting blackheads on my skin","Blackheads have appeared on my face","My skin has blackheads that I can't get rid of","I see blackheads forming on my skin","I have blackheads on my skin","I’m dealing with blackheads","My skin is clogged with blackheads","I notice blackheads on my nose","I have blackheads on my face","I’m struggling with blackheads on my skin","My pores are filled with blackheads","I have small blackheads on my skin","I’m noticing blackheads around my nose","I have many blackheads on my face","My skin has a lot of blackheads","I’m struggling with blackheads on my skin","I have blackheads on my skin","I’m dealing with blackheads","My skin has a lot of blackheads","I’m noticing blackheads on my nose","I have blackheads on my skin","I’m dealing with blackheads","My skin has a lot of blackheads","I’m noticing blackheads on my nose","blackheads"
"I have scarring on my skin","There is visible scarring on my face","My skin has developed scarring","I notice scarring from previous wounds","I’ve been dealing with scarring on my body","The scarring on my skin is becoming more noticeable","I have scars that are still healing","There are scars on my skin from past injuries","My skin has scars that are hard to remove","I’ve been trying to reduce the scarring on my skin","I have scarring on my skin","I’m noticing scars on my skin","I’ve developed scarring on my body","I have scars from past injuries","My skin has visible scarring","I’m dealing with skin scarring","I’m seeing marks or scars on my body","I have scarring from previous wounds","I’ve had scars from acne or other conditions","My skin is marked with scars","I’m noticing scarring in areas of my body","I’m struggling with scars on my skin","I have scarring on my skin","I’m noticing scars on my skin","I’ve developed scarring on my body","I have scars from past injuries","I have scarring on my skin","I’m noticing scars on my skin","I’ve developed scarring on my body","I have scars from past injuries","scurring"
"My skin is peeling off","I notice peeling on my skin","The skin on my hands is peeling","My skin has started to peel","I have areas of peeling skin","The peeling skin is becoming more noticeable","I’m experiencing skin peeling around my nose","My skin is flaking and peeling","There’s peeling skin on my feet","I have dry patches of peeling skin","My skin has been peeling due to dryness","My skin is peeling","I have peeling skin","I’m experiencing skin peeling","My skin is shedding","I’m dealing with dry, peeling skin","I notice peeling skin in certain areas","I have areas where my skin is peeling","My skin is flaking off","I have a condition causing my skin to peel","I’m struggling with peeling skin","There’s skin peeling off in patches","I’m experiencing skin flakes coming off my body","My skin is peeling","I have peeling skin","I’m experiencing skin peeling","My skin is shedding","My skin is peeling","I have peeling skin","I’m experiencing skin peeling","skin_peeling"
"I notice silver-like dusting on my skin","There’s silver-like dusting on my arms","I have silver-like dusting on my scalp","My skin is shedding silver-like dust","The silver-like dusting is visible on my elbows","I see silver-like flakes on my body","My skin is flaking off in silver-like dust","I’m experiencing silver-like dusting around my neck","There’s silver-like dust around my nails","I’m noticing silver-like dust on my legs","My clothes are covered with silver-like dust","I’m noticing silver-like dust on my skin","My skin is shedding silver-like dust","I’m dealing with silver-like dusting on my skin","I see dust particles that resemble silver on my body","There’s silver-like dust coming off my skin","I’m experiencing silver dust-like flakes on my body","My skin is shedding particles that look like silver dust","I’m seeing silver dust on my skin","I notice a dust-like substance on my skin that looks like silver","My skin is producing silver-like flakes","I have silver-colored dust on my skin","There’s a silver-like powder on my skin","I’m noticing silver-like dust on my skin","My skin is shedding silver-like dust","I’m dealing with silver-like dusting on my skin","I see dust particles that resemble silver on my body","I’m noticing silver-like dust on my skin","My skin is shedding silver-like dust","I’m dealing with silver-like dusting on my skin","silver_like_dusting"
"I have small dents in my nails","There are small dents on my fingernails","I notice small indentations in my nails","My nails have tiny dents on them","There are small dents in the surface of my nails","I see small dents in my nails","My nails are showing signs of small dents","I’ve noticed small dents appearing in my nails","My fingernails have little indentations","I’ve been getting small dents in my nails recently","There are small, round dents in my nails","I have small dents in my nails","I’m noticing little dents on my nails","My nails have tiny indentations","I have dents in my nails","I’m dealing with nail indentations","There are small depressions in my nails","I have tiny dents on my fingernails","My nails have small, noticeable dents","I’m experiencing dents on the surface of my nails","I have little indentations in my nails","My nails have small marks or dents","I’m noticing tiny dents on my nails","I have small dents in my nails","I’m noticing little dents on my nails","My nails have tiny indentations","I have dents in my nails","I have small dents in my nails","I’m noticing little dents on my nails","My nails have tiny indentations","small_dents_in_nails"
"My nails appear inflamed","I have inflamed nails","My nails are showing signs of inflammation","There’s inflammation around my nails","I’ve noticed inflammation on my nails","My nails are swollen and inflamed","The area around my nails looks inflamed","I have redness and swelling around my nails","There’s noticeable inflammation on my nails","My nails are painful and inflamed","I’ve been dealing with inflamed nails","My nails are inflamed","I’m dealing with inflammation in my nails","My nails are swollen and inflamed","I’m experiencing nail inflammation","I have inflamed nails","I’m struggling with swollen nails","My nails look red and swollen","I notice inflammation in my nails","I have inflamed areas around my nails","I’m having inflammation issues with my nails","My nails are sore and inflamed","I’m dealing with swollen and painful nails","My nails are inflamed","I’m dealing with inflammation in my nails","My nails are swollen and inflamed","I’m experiencing nail inflammation","My nails are inflamed","I’m dealing with inflammation in my nails","My nails are swollen and inflamed","inflammatory_nails"
"I have a blister on my skin","There’s a blister forming on my hand","My skin has developed a blister","I noticed a blister on my foot","I have a painful blister on my heel","A blister has appeared on my finger","I see a fluid-filled blister on my skin","There's a blister on my toe that hurts","My skin is irritated and there's a blister","A blister has formed due to friction","I have a small blister on my palm","I have a blister on my skin","I’m dealing with a painful blister","I have a fluid-filled blister","I’ve developed a blister on my skin","My skin has a blister on it","I’m noticing a blister forming on my skin","I have a blister from friction","I’m struggling with blisters on my skin","I have a blister that’s causing discomfort","There’s a painful blister on my body","I have a fluid-filled bump on my skin","I’m dealing with a blister on my skin","I have a blister on my skin","I’m dealing with a painful blister","I have a fluid-filled blister","I’ve developed a blister on my skin","I have a blister on my skin","I’m dealing with a painful blister","I have a fluid-filled blister","blister"
"I have a red sore around my nose","There’s a painful red sore near my nostrils","My nose is irritated with a red sore around it","I noticed a red sore forming around my nose","I have a sore near my nose that is turning red","The area around my nose is sore and red","There's a red rash around my nose","I feel a burning sensation due to a red sore around my nose","My nose hurts and there’s a red sore","I’ve developed a red sore near my nose","The skin around my nose is sore and red","I have a red sore around my nose","I’m dealing with a sore near my nose","My nose has a red, sore spot","I have redness around my nose due to a sore","There’s a painful, red sore near my nose","I’m noticing irritation around my nose","I have a red patch near my nose","My nose is sore and inflamed","I’m struggling with a red sore on my nose","There’s a painful red mark around my nose","I’m dealing with redness and pain around my nose","I have a red sore that’s irritated around my nose","I have a red sore around my nose","I’m dealing with a sore near my nose","My nose has a red, sore spot","I have a red sore around my nose","I’m dealing with a sore near my nose","My nose has a red, sore spot","I have redness around my nose due to a sore","red_sore_around_nose"
"I have yellow crust oozing from a wound","There’s yellow crust forming and oozing from my skin","My skin is oozing yellow crust around the infected area","I noticed yellow crust oozing from a sore","Yellow crust is coming out from the wound on my skin","The wound on my skin is leaking yellow crust","There’s a yellowish crust that is oozing from my skin","Yellow crust is forming around my wound and it’s oozing","I can see yellow crust oozing out from the sore on my skin","The yellow crust keeps oozing from the infected area","My skin is producing yellow crust and it’s oozing out","I have yellow crusty ooze from my skin","My skin is oozing yellowish crust","I’m dealing with yellow crust that’s oozing","There’s yellowish discharge coming from my skin","I have a yellow crusty substance oozing from my skin","I’m struggling with yellow crust coming out of a wound","I have a yellow crust that’s leaking from my skin","My skin is oozing yellow crusty material","There’s a yellow discharge oozing from my skin","I’m noticing yellow crust on my skin that’s oozing","I have yellow crusty discharge from a sore","I have yellow crusty ooze from my skin","My skin is oozing yellowish crust","I’m dealing with yellow crust that’s oozing","There’s yellowish discharge coming from my skin","I have yellow crusty ooze from my skin","My skin is oozing yellowish crust","I’m dealing with yellow crust that’s oozing","There’s yellowish discharge coming from my skin","yellow_crust_ooze"
